"size","density","density_weighted","modularity_optimal","modularity_louvain","modularity_walktrap","number","gradient"
27,0.3504,0.129812,0.372325,0.367949,0.354922,134217727,284
27,0.3419,0.157418,0.398358,0.398358,0.343548,134217727,285
27,0.3875,0.141948,0.339188,0.334863,0.311143,134217727,286
27,0.5328,0.218728,0.214312,0.214312,0.175959,134217727,288
27,0.3989,0.160569,0.294088,0.294088,0.273093,134217727,289
27,0.3875,0.160177,0.320233,0.320233,0.264006,134217727,293
27,0.4387,0.157219,0.288718,0.288651,0.280892,134217727,301
27,0.4957,0.172443,0.212502,0.209127,0.18061,134217727,302
27,0.4188,0.158206,0.319472,0.312487,0.290565,134217727,304
27,0.3504,0.147122,0.327314,0.327314,0.262872,134217727,306
27,0.4302,0.181037,0.265897,0.259716,0.237608,134217727,307
27,0.3305,0.172213,0.261593,0.261593,0.21776,134217727,308
27,0.245,0.117331,0.351739,0.351739,0.307771,134217727,311
27,0.6467,0.293628,0.155786,0.152798,0.119207,134217727,318
27,0.2422,0.136345,0.363656,0.361295,0.285163,134217727,319
27,0.4217,0.160581,0.311321,0.311321,0.287446,134217727,320
27,0.6154,0.429639,0.083496,0.069626,0.060962,134217727,322
27,0.5214,0.201153,0.197777,0.197777,0.14888,134217727,324
27,0.3191,0.16388,0.32734,0.321504,0.29187,134217727,325
27,0.453,0.199838,0.223612,0.221394,0.218345,134217727,326
27,0.5698,0.24011,0.162161,0.158119,0.142849,134217727,328
27,0.4587,0.21885,0.242325,0.234637,0.204284,134217727,334
27,0.3048,0.19011,0.357711,0.357711,0.357711,134217727,336
27,0.2479,0.119939,0.408279,0.408279,0.366037,134217727,337
27,0.49,0.195455,0.279343,0.279343,0.268384,134217727,339
27,0.3162,0.163608,0.320105,0.314382,0.270065,134217727,340
27,0.2279,0.129952,0.373856,0.349291,0.373856,134217727,342
27,0.3134,0.13815,0.33369,0.33369,0.284619,134217727,345
27,0.2593,0.15201,0.347505,0.331096,0.328914,134217727,347
27,0.5385,0.200798,0.234566,0.234566,0.193021,134217727,348
27,0.3875,0.16249,0.326304,0.326304,0.271875,134217727,351
27,0.3362,0.175851,0.291981,0.286105,0.26039,134217727,353
27,0.4473,0.190917,0.217786,0.195482,0.20314,134217727,354
27,0.5755,0.244773,0.180797,0.174145,0.168091,134217727,355
27,0.5499,0.251903,0.216314,0.216314,0.167926,134217727,356
27,0.4758,0.173926,0.280242,0.269173,0.279544,134217727,357
27,0.4843,0.174708,0.256091,0.248463,0.256091,134217727,359
27,0.5556,0.236578,0.212665,0.208546,0.205241,134217727,360
27,0.4701,0.169358,0.26642,0.26642,0.241197,134217727,361
27,0.4786,0.189752,0.263074,0.251879,0.253199,134217727,362
27,0.5869,0.236354,0.187555,0.181883,0.156503,134217727,363
27,0.4615,0.16795,0.262471,0.251869,0.241417,134217727,364
27,0.6125,0.247276,0.197408,0.191833,0.173767,134217727,365
27,0.5812,0.273011,0.142454,0.135261,0.095727,134217727,367
27,0.4786,0.191845,0.265033,0.233348,0.234207,134217727,368
27,0.3105,0.150133,0.347252,0.323167,0.266558,134217727,370
27,0.3732,0.184148,0.291589,0.288675,0.260184,134217727,371
27,0.2934,0.138172,0.30128,0.301003,0.283444,134217727,372
