"from","to","weight"
"LDMC","RD",0.417641790954897
"Lwid","RD",0.231916578659131
"LFM","RD",0.265315860536143
"SCDen","RD",0.307279328009348
"DispL","RD",0.454931376564895
"SCElen","RD",0.202071961961087
"SRL","RD",0.264564186495843
"LA","RD",0.27905505921086
"LWC","RD",0.384935306410381
"SSD","Height",0.39664306711381
"SLA","Height",0.272893972151101
"LCC.m","Height",0.386014939831794
"LPC.m","Height",0.31661456866198
"SD","Height",0.430380381523396
"SdM","Height",0.736412953291478
"SdL","Height",0.708704838906371
"LDMC","Height",0.51368224716978
"L15N","Height",0.218542613113871
"Llen","Height",0.372638968312626
"Lwid","Height",0.55474953694695
"LFM","Height",0.517950287125501
"SCDen","Height",0.49890584379299
"DispL","Height",0.643479708447349
"WDL","Height",0.316891838413509
"SRL","Height",0.54688505531799
"LA","Height",0.567697731253786
"LWC","Height",0.470446776140317
"RD","Height",0.478259222345813
